1;-1 HAL59_PCH_PhBr + 1 HAL59_PCH + 1 HAL59_PhBr;0.85;kcal/mol
2;-1 HAL59_NCH_PhBr + 1 HAL59_NCH + 1 HAL59_PhBr;1.15;kcal/mol
3;-1 HAL59_NH3_PhBr + 1 HAL59_NH3 + 1 HAL59_PhBr;2.02;kcal/mol
4;-1 HAL59_MeI_PCH + 1 HAL59_MeI + 1 HAL59_PCH;0.85;kcal/mol
5;-1 HAL59_MeI_NCH + 1 HAL59_MeI + 1 HAL59_NCH;1.42;kcal/mol
6;-1 HAL59_MeI_NH3 + 1 HAL59_MeI + 1 HAL59_NH3;2.73;kcal/mol
7;-1 HAL59_PCH_PhI + 1 HAL59_PCH + 1 HAL59_PhI;0.92;kcal/mol
8;-1 HAL59_NCH_PhI + 1 HAL59_NCH + 1 HAL59_PhI;1.87;kcal/mol
9;-1 HAL59_NH3_PhI + 1 HAL59_NH3 + 1 HAL59_PhI;3.33;kcal/mol
10;-1 HAL59_PCH_F3CI + 1 HAL59_PCH + 1 HAL59_F3CI;0.89;kcal/mol
11;-1 HAL59_NCH_F3CI + 1 HAL59_NCH + 1 HAL59_F3CI;3.61;kcal/mol
12;-1 HAL59_NH3_F3CI + 1 HAL59_NH3 + 1 HAL59_F3CI;5.88;kcal/mol
13;-1 HAL59_BrBr_PCH + 1 HAL59_BrBr + 1 HAL59_PCH;1.18;kcal/mol
14;-1 HAL59_BrBr_NCH + 1 HAL59_BrBr + 1 HAL59_NCH;3.61;kcal/mol
15;-1 HAL59_BrBr_NH3 + 1 HAL59_BrBr + 1 HAL59_NH3;7.29;kcal/mol
16;-1 HAL59_PCH_NBS + 1 HAL59_PCH + 1 HAL59_NBS;1.19;kcal/mol
17;-1 HAL59_NCH_NBS + 1 HAL59_NCH + 1 HAL59_NBS;4.32;kcal/mol
18;-1 HAL59_NH3_NBS + 1 HAL59_NH3 + 1 HAL59_NBS;8.02;kcal/mol
19;-1 HAL59_PCH_FCl + 1 HAL59_PCH + 1 HAL59_FCl;1.16;kcal/mol
20;-1 HAL59_NCH_FCl + 1 HAL59_NCH + 1 HAL59_FCl;4.81;kcal/mol
21;-1 HAL59_NH3_FCl + 1 HAL59_NH3 + 1 HAL59_FCl;10.54;kcal/mol
22;-1 HAL59_PCH_NIS + 1 HAL59_PCH + 1 HAL59_NIS;1.53;kcal/mol
23;-1 HAL59_NCH_NIS + 1 HAL59_NCH + 1 HAL59_NIS;5.91;kcal/mol
24;-1 HAL59_NH3_NIS + 1 HAL59_NH3 + 1 HAL59_NIS;10.99;kcal/mol
25;-1 HAL59_PCH_FBr + 1 HAL59_PCH + 1 HAL59_FBr;2.07;kcal/mol
26;-1 HAL59_NCH_FBr + 1 HAL59_NCH + 1 HAL59_FBr;7.53;kcal/mol
27;-1 HAL59_NH3_FBr + 1 HAL59_NH3 + 1 HAL59_FBr;15.30;kcal/mol
28;-1 HAL59_FI_PCH + 1 HAL59_FI + 1 HAL59_PCH;2.74;kcal/mol
29;-1 HAL59_FI_NCH + 1 HAL59_FI + 1 HAL59_NCH;9.33;kcal/mol
30;-1 HAL59_FI_NH3 + 1 HAL59_FI + 1 HAL59_NH3;17.11;kcal/mol
31;-1 HAL59_MeI_FCCH + 1 HAL59_MeI + 1 HAL59_FCCH;0.50;kcal/mol
32;-1 HAL59_BrBr_FCCH + 1 HAL59_BrBr + 1 HAL59_FCCH;0.74;kcal/mol
33;-1 HAL59_FI_FCCH + 1 HAL59_FI + 1 HAL59_FCCH;0.29;kcal/mol
34;-1 HAL59_MeI_FMe + 1 HAL59_MeI + 1 HAL59_FMe;1.70;kcal/mol
35;-1 HAL59_BrBr_FMe + 1 HAL59_BrBr + 1 HAL59_FMe;2.87;kcal/mol
36;-1 HAL59_FI_FMe + 1 HAL59_FI + 1 HAL59_FMe;5.97;kcal/mol
37;-1 HAL59_MeI_OCH2 + 1 HAL59_MeI + 1 HAL59_OCH2;2.39;kcal/mol
38;-1 HAL59_BrBr_OCH2 + 1 HAL59_BrBr + 1 HAL59_OCH2;4.41;kcal/mol
39;-1 HAL59_FI_OCH2 + 1 HAL59_FI + 1 HAL59_OCH2;9.94;kcal/mol
40;-1 HAL59_MeI_OPH3 + 1 HAL59_MeI + 1 HAL59_OPH3;3.34;kcal/mol
41;-1 HAL59_BrBr_OPH3 + 1 HAL59_BrBr + 1 HAL59_OPH3;5.95;kcal/mol
42;-1 HAL59_FI_OPH3 + 1 HAL59_FI + 1 HAL59_OPH3;13.36;kcal/mol
43;-1 HAL59_MeI_pyr + 1 HAL59_MeI + 1 HAL59_pyr;3.61;kcal/mol
44;-1 HAL59_BrBr_pyr + 1 HAL59_BrBr + 1 HAL59_pyr;9.07;kcal/mol
45;-1 HAL59_FI_pyr + 1 HAL59_FI + 1 HAL59_pyr;20.34;kcal/mol
46;1 HAL59_11_benF3-benA + 1 HAL59_11_benF3-benB + -1 HAL59_11_benF3-benAB;4.40;kcal/mol
47;1 HAL59_12_benF6-benA + 1 HAL59_12_benF6-benB + -1 HAL59_12_benF6-benAB;6.12;kcal/mol
48;1 HAL59_19_benCl-acetoneA + 1 HAL59_19_benCl-acetoneB + -1 HAL59_19_benCl-acetoneAB;1.49;kcal/mol
49;1 HAL59_20_benBr-acetoneA + 1 HAL59_20_benBr-acetoneB + -1 HAL59_20_benBr-acetoneAB;2.43;kcal/mol
50;1 HAL59_21_benI-acetoneA + 1 HAL59_21_benI-acetoneB + -1 HAL59_21_benI-acetoneAB;3.46;kcal/mol
51;1 HAL59_22_benCl-Nm3A + 1 HAL59_22_benCl-Nm3B + -1 HAL59_22_benCl-Nm3AB;2.11;kcal/mol
52;1 HAL59_23_benBr-Nm3A + 1 HAL59_23_benBr-Nm3B + -1 HAL59_23_benBr-Nm3AB;3.78;kcal/mol
53;1 HAL59_24_benI-Nm3A + 1 HAL59_24_benI-Nm3B + -1 HAL59_24_benI-Nm3AB;5.81;kcal/mol
54;1 HAL59_25_benBr-mSHA + 1 HAL59_25_benBr-mSHB + -1 HAL59_25_benBr-mSHAB;2.32;kcal/mol
